imdbId,tvdbId,tmdbId
tt0351445,,755965
tt0383553,,1007197
tt0216553,126488,109159
tt0251221,,129390
tt5983248,,392080
tt0413277,,273090
tt0216542,,88705
tt7435124,134764,632250
tt0207408,,776540
tt0211129,,504456
tt0189649,,398310
tt2011099,283330,418867
tt0076559,,910463
tt22096066,,1059744
tt0380358,165040,99990
tt1823167,,851970
tt5246900,,497080
tt3173838,,947572
tt3496328,,471642
tt0000439,8491,5698
tt0289477,14763,9677
tt0003805,31823,22870
tt0296874,,48488
tt0345176,209531,6200
tt0052338,45917,45948
tt0028445,16019,43878
tt0018573,54907,50919
tt1278345,,12418
tt1352717,24510,45485
tt0223130,77276,194604
tt0071484,200889,209536
tt0011223,69254,53523
tt0032000,,235660
tt1520428,54864,47798
tt0138758,65434,105552
tt0006349,104017,171817
tt0372134,,1125086
tt0234953,138940,191974
tt0035733,21466,64648
tt0024824,49569,51374
tt0000313,34584,179235
tt0048575,117366,202102
tt0227438,81786,106814
tt1414836,220626,192340
tt0203646,111842,159905
tt0031667,47030,53592
tt1985183,,418763
tt0209401,,957547
tt0224066,49583,53621
tt0044958,46698,51406
tt0009389,38837,51470
tt0060383,153853,18953
tt0006987,212957,53735
tt0393482,,1140286
tt0360984,,420086
tt0000534,46480,132379
tt0339976,69957,118658
tt0292458,,22759
tt0270257,250554,367372
tt0058260,155089,243268
tt0221997,,958472
tt0006764,53261,174601
tt0000048,,212329
tt0049124,229646,243035
tt0082335,68908,59356
tt1400509,97372,93082
tt0005371,,946380
tt0014097,219522,175759
tt0063504,231050,243325
tt0046420,,243013
tt1531704,50114,106414
tt1601238,212652,51408
tt0830211,50586,174473
tt2922112,85871,199702
tt1303225,,352578
tt0005026,220521,191201
tt0778023,,1033609
tt2368875,,224850
tt0337874,,854945
tt0374941,,932775
tt0241570,,936311
tt1293749,,938694
tt0004067,,942595
tt0392860,,933153
tt3331512,9268,236028
tt0227995,161845,85302
tt0258465,154945,5897
tt0488003,,207350
tt0427075,,947747
