imdbId,tvdbId,tmdbId,tvmazeId
tt1700257,,256515,
tt0464129,296708,201245,
tt0111033,,39788,
tt0423651,82183,13812,6723
tt0106029,76270,5248,40773
tt0309150,200261,128790,
tt0087583,249189,9503,20430
tt0056790,216141,79508,
tt0090638,277841,47243,
tt0129669,153131,22177,
tt1633245,,58721,
tt0111936,,47189,
tt0208875,,56503,
tt1782440,,37530,
tt2138058,270751,58750,
tt1958957,,100525,52680
tt0478996,,73736,
tt0273021,,16472,
tt0075670,,49740,
tt0324264,82851,13894,6724
tt1510984,260611,39784,
tt2224327,,61685,
tt0174937,,45180,
tt0331802,225981,54454,
tt0111353,,48698,
tt0316030,,41714,
tt0362480,,7590,
tt0090435,249291,20788,23752
tt0818080,,31657,
tt1831575,251645,44434,7374
tt0440205,189071,13736,
tt0103973,,20070,
tt0181571,,6985,
tt0309720,319646,19193,
tt0113892,,48700,
tt0102613,,9169,
tt0075124,,47930,
tt1560591,262777,48652,23023
tt0785054,,42121,
tt0077418,,48611,
tt0087160,,15917,
tt0480035,,42512,
tt0092179,,47792,
tt0100052,,43479,
tt0071847,,33125,
tt0464165,,13876,
tt0075220,153381,17435,
tt0094199,,15733,
tt0078496,,49660,
tt3037036,283655,75691,
tt0275434,,43205,
tt0084369,,42497,
tt0380123,,22511,
tt2943304,436194,197664,
tt0363685,,15879,
tt3804834,,63543,
tt0092590,,137354,50685
tt0442698,,16898,
tt1912979,,46692,
tt1854668,240211,38766,20841
tt0080558,,74199,
tt4383082,293822,77144,1730
tt4262380,,79849,
tt0106506,,47303,
tt4847012,297359,63415,2471
tt5641680,,74248,
tt7167542,,79036,
tt7799912,,322806,
tt8924868,,81968,
tt7758896,,84708,45211
tt0296709,,47289,
tt11426704,,96098,
tt6050280,,83132,
tt0080364,,18952,
tt14216680,,154341,
tt0078839,,317173,
tt0100004,,31004,
tt0461693,,43447,
tt0096433,,47572,
tt0065268,,80183,
tt0144039,363072,74170,44835
tt0284741,228971,48692,
tt0383790,,77984,
tt0243067,,17842,45099
tt1985443,256233,43016,1102
tt1949720,254143,42518,1652
tt0199232,,47059,
tt0472242,272011,72954,32259
tt1820723,253556,43065,1670
tt0929897,,41135,
tt2043616,256959,41670,10463
tt0920511,254777,40885,17044
tt0143767,,51693,
tt0442841,,73738,
tt0055677,95161,42983,
tt0115238,80307,47193,18610
tt0074073,280229,303923,
tt1801809,255252,64005,
tt0085207,,39974,
tt0217225,,80382,
tt0119571,,41737,
tt0052509,85164,66500,
tt1524537,294762,303686,
tt1278234,462647,299855,
tt1711534,282193,71374,
tt2720566,,80346,34093
tt0098540,269866,77210,
tt0186804,161791,35962,36223
tt0117592,,40003,
tt0789779,,16464,
tt0973780,,73477,44915
tt1312203,144431,42769,
tt1383237,248517,78674,
tt0832441,,206077,
tt0306736,,104219,
tt0117248,,36172,
tt0218832,318054,99831,
tt1010044,120951,76393,
tt0081917,257802,80352,
